country,country_code,shop_id,shop_name,item_id,product_name,category,platform_category,shop_category,current_price,price,discount_percent,displayed_discount_pct,likes,liked_count,rating_count,monthly_sold_value_proxy,monthly_sold_value,history_sold_value,opportunity_score,recommendation_label,confidence_level,top_three_explanation_reasons,reason_1,reason_2,reason_3,peer_group_benchmark
id,id,809769142,Glad2Glow Official Store,41075294736,[Hot sale]Glad2Glow FLAWLESS BLURRING SKIN TINT 30G Concealer Foundation Bedak padat Make up Lightweight Coverage Long-lasting 12-Hour Soft-Focus Flawless Skin oil-control  Bio-Mimetic Film Technology  Care g2glow official store,Beauty,Beauty,MAKE UP,55000,55000,65.0,65.0,58117,58117,90465,1000.0,1000.0,10000.0,67.89,Protect Hero SKU,Medium,Likes are at the 95% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 95% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 28%; likes pctl 95%; sold-value pctl 79%
id,id,1112776376,Scora Official Store,43050856028,SCORA Bright Me Up Sunscreen 40 gr Sunblock Mencerahkan Melindungi UV Menyerap Cepat Glowing Sepanjang Hari,Beauty,Beauty,Special Day Banting Harga ✨💵,41900,41900,57.0,57.0,41582,41582,101690,1000.0,1000.0,10000.0,67.68,Protect Hero SKU,Medium,Likes are at the 94% peer percentile. | Price is at the 17% country-category percentile. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 94% peer percentile.,Price is at the 17% country-category percentile.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 17%; likes pctl 94%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,42752568783,[HOT SALE]Glad2Glow Cherry Blossom Micellar Water 300ml Lembut cleansing oil Penghapus Makeup Waterproof Hapus Riasan Tahan Air dengan Centella & Tanpa Iritasi untuk Kulit Sensitif & Berjerawat g2glow official store,Beauty,Beauty,MAKE UP,48900,48900,62.0,62.0,25767,25767,112647,1000.0,1000.0,10000.0,67.59,Protect Hero SKU,Medium,Likes are at the 90% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 90% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 24%; likes pctl 90%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,42358562447,[100g NEW SIZE]Glad2Glow Advanced Mugwort Acne Gel Mask 50/100g Masker Komedo dan Pori Pori Wajah Mask,Beauty,Beauty,SKINCARE,38900,38900,57.0,57.0,22075,22075,61587,1000.0,1000.0,10000.0,67.45,Protect Hero SKU,Medium,Price is at the 12% country-category percentile. | Shop credibility score is 87%. | Likes are at the 87% peer percentile.,Price is at the 12% country-category percentile.,Shop credibility score is 87%.,Likes are at the 87% peer percentile.,id | Beauty; price pctl 12%; likes pctl 87%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,27455737082,"[BUY 100ml Save 30%]Glad2Glow Centella Salicylic Acid Acne Gel Cleanser facial wash pembersih wajah sabun cuci muka face wash skincare,Menenangkan kulit berjerawat dan kemerahan,mengontrol minyak berlebih,G2G glad2glow officia store",Beauty,Beauty,SKINCARE,37000,37000,71.0,71.0,18209,18209,121325,1000.0,1000.0,10000.0,67.42,Protect Hero SKU,Medium,Price is at the 8% country-category percentile. | Shop credibility score is 87%. | Likes are at the 84% peer percentile.,Price is at the 8% country-category percentile.,Shop credibility score is 87%.,Likes are at the 84% peer percentile.,id | Beauty; price pctl 8%; likes pctl 84%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,27810365257,Glad2Glow Toner Complete Series - Brighten/Acne Toner/Barrier/Exfoliating toner-Skincare centella wajah eksfoliasi hydrating glowing brightening glycolic water g2glow Official Store,Beauty,Beauty,SKINCARE,44900,44900,59.0,59.0,21406,21406,98491,1000.0,1000.0,10000.0,67.35,Protect Hero SKU,Medium,Shop credibility score is 87%. | Likes are at the 87% peer percentile. | Price is at the 20% country-category percentile.,Shop credibility score is 87%.,Likes are at the 87% peer percentile.,Price is at the 20% country-category percentile.,id | Beauty; price pctl 20%; likes pctl 87%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,29954788720,Glad2Glow Peach Retinol Moisturizer Pelembab Anti Penuaan Penghalang Kulit Mencerahkan Flek Hitam Mengurangi kerutan mencerahkan warna kulit menghaluskan kulit mengecilkan membesar melembabkan g2glow official store,Beauty,Beauty,SKINCARE,81900,81900,59.0,59.0,88987,88987,241445,1000.0,1000.0,10000.0,67.19,Protect Hero SKU,Medium,Likes are at the 97% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 97% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 56%; likes pctl 97%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,26704788256,GLAD2GLOW Kiwi 3D Acid Acne Moisturizer Pelembab Wajah Jerawat Mencerahkan Pencerah Wajah&Penuaan Hilangkan Flek & Tenangkan Kulit Skincare Pelembab Esensi Wajah Perawatan Kulit day cream tone up g2g official store,Beauty,Beauty,SKINCARE,44900,44900,55.0,55.0,19349,19349,92421,1000.0,1000.0,10000.0,67.18,Protect Hero SKU,Medium,Shop credibility score is 87%. | Likes are at the 85% peer percentile. | Price is at the 20% country-category percentile.,Shop credibility score is 87%.,Likes are at the 85% peer percentile.,Price is at the 20% country-category percentile.,id | Beauty; price pctl 20%; likes pctl 85%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,22451188653,Lavojoy Hold Me Tight Pro Shampoo Spring Wonder | Hair Shampoo | Sampo Rambut | Shampoo Perawatan Rambut Rontok | Mempercepat Pertumbuhan Rambut | Mengurangi Kerontokkan | Sampo Ginseng & Jahe,Beauty,Beauty,LVJ HAIR CARE SERIES,100000,100000,36.0,36.0,89077,89077,89492,1000.0,1000.0,10000.0,66.84,Protect Hero SKU,Medium,Likes are at the 98% peer percentile. | Shop credibility score is 85%. | Displayed discount is at the 20% peer percentile.,Likes are at the 98% peer percentile.,Shop credibility score is 85%.,Displayed discount is at the 20% peer percentile.,id | Beauty; price pctl 68%; likes pctl 98%; sold-value pctl 79%
id,id,1112776376,Scora Official Store,29978594764,[NEW PACKAGING] SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML Mencerahkan Melembapkan Kulit,Beauty,Beauty,,39800,39800,49.0,49.0,23724,23724,72268,1000.0,1000.0,10000.0,66.73,Protect Hero SKU,Medium,Likes are at the 88% peer percentile. | Price is at the 15% country-category percentile. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 88% peer percentile.,Price is at the 15% country-category percentile.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 15%; likes pctl 88%; sold-value pctl 79%
