country_code,experiment,model,validation_scheme,n_rows,mae_log,rmse_log,spearman,top_decile_lift,ndcg_at_20
id,actionable_context,DummyMedian,group_5_fold,451,1.6989998913916002,2.2121012114885494,-0.41583606940887663,0.23472458485216685,0.09330467313187776
id,actionable_context,Ridge,group_5_fold,451,1.514565126724154,1.7538560263069152,0.6636048130033058,1.7839227287935617,1.0
id,actionable_context,GradientBoostedStumpsFallback,group_5_fold,451,0.8387423139635823,1.1961550323998624,0.7665257927067665,1.7008895521862393,1.0
id,actionable_context,DummyMedian,leave_one_shop_out,451,1.670876401296417,2.157541811529739,-0.3927997699245496,0.6034300103897018,0.42159280670181887
id,actionable_context,Ridge,leave_one_shop_out,451,1.526982298559124,1.7616844258614686,0.6548125568061864,1.7839227287935617,1.0
id,actionable_context,GradientBoostedStumpsFallback,leave_one_shop_out,451,0.7822044792847276,1.122698638104973,0.7701974226109607,1.7182030218183735,1.0
id,descriptive_leakage_prone,DummyMedian,group_5_fold,451,1.6989998913916002,2.2121012114885494,-0.41583606940887663,0.23472458485216685,0.09330467313187776
id,descriptive_leakage_prone,Ridge,group_5_fold,451,1.5359704429616172,1.7489073035565037,0.6539957076497978,1.7679196823216579,0.9786000055137831
id,descriptive_leakage_prone,GradientBoostedStumpsFallback,group_5_fold,451,0.8039141415390078,1.1445590204684764,0.7789599660662725,1.7626779896807367,1.0
id,descriptive_leakage_prone,DummyMedian,leave_one_shop_out,451,1.670876401296417,2.157541811529739,-0.3927997699245496,0.6034300103897018,0.42159280670181887
id,descriptive_leakage_prone,Ridge,leave_one_shop_out,451,1.5373562723214254,1.747197510459216,0.646400575496254,1.7679196823216579,0.9786000055137831
id,descriptive_leakage_prone,GradientBoostedStumpsFallback,leave_one_shop_out,451,0.7499067524317523,1.0775056624334793,0.7834223557009228,1.7263038195361613,0.9229182292404371
vn,actionable_context,DummyMedian,group_5_fold,641,1.8521908023853066,2.309151861050289,-0.34409542182706027,0.14874353050808542,0.0036299848663241814
vn,actionable_context,Ridge,group_5_fold,641,2.6100332095468244,4.212830068601814,0.3816096298649906,1.6757408256684208,0.06900036732820036
vn,actionable_context,GradientBoostedStumpsFallback,group_5_fold,641,1.6509285727711922,2.0573846930886632,0.4069285761745592,0.7341734219357394,0.04519755013051672
vn,actionable_context,DummyMedian,leave_one_shop_out,641,1.8915604971668702,2.3417236759928897,-0.5519859474405391,0.14238336349128353,0.002874571261203171
vn,actionable_context,Ridge,leave_one_shop_out,641,2.145616652623776,3.064586999897027,0.4039240810748903,1.2224814137739066,0.05904629749021652
vn,actionable_context,GradientBoostedStumpsFallback,leave_one_shop_out,641,1.681086763746831,2.0855321158482725,0.3508183579125844,0.7997014505744292,0.038399321396699174
vn,descriptive_leakage_prone,DummyMedian,group_5_fold,641,1.8521908023853066,2.309151861050289,-0.34409542182706027,0.14874353050808542,0.0036299848663241814
vn,descriptive_leakage_prone,Ridge,group_5_fold,641,1.3740956192324276,1.7707048214914,0.681925577825579,5.37917294569222,0.17705652080117149
vn,descriptive_leakage_prone,GradientBoostedStumpsFallback,group_5_fold,641,1.2233843309256018,1.5453424303275338,0.7530029102890771,1.97633234868278,0.15910639723460407
vn,descriptive_leakage_prone,DummyMedian,leave_one_shop_out,641,1.8915604971668702,2.3417236759928897,-0.5519859474405391,0.14238336349128353,0.002874571261203171
vn,descriptive_leakage_prone,Ridge,leave_one_shop_out,641,1.786970609335393,3.399382997428007,0.6701635003961561,5.040293058033534,0.007895235237503089
vn,descriptive_leakage_prone,GradientBoostedStumpsFallback,leave_one_shop_out,641,1.247702585244829,1.5800779108206424,0.7255323040002203,1.875930863597771,0.055433111788310396
